Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
HAIR,AUSSIE,0.24160,2023-04-12 00:00:00
HAIR,AUSSIE,0.01520,2023-04-13 00:00:00
HAIR,AUSSIE,0.30840,2023-04-14 00:00:00
HAIR,AUSSIE,0.02660,2023-04-17 00:00:00
HAIR,AUSSIE,0.01210,2023-04-18 00:00:00
HAIR,AUSSIE,0.01820,2023-04-19 00:00:00
HAIR,AUSSIE,0.00210,2023-04-20 00:00:00
HAIR,AUSSIE,0.01680,2023-04-21 00:00:00
HAIR,AUSSIE,0.00280,2023-04-24 00:00:00
HAIR,AUSSIE,0.03710,2023-04-25 00:00:00
HAIR,AUSSIE,0.03430,2023-04-26 00:00:00
HAIR,AUSSIE,0.00600,2023-04-27 00:00:00
HAIR,AUSSIE,0.05200,2023-04-28 00:00:00
HAIR,AUSSIE,0.05160,2023-05-02 00:00:00
HAIR,AUSSIE,0.00580,2023-05-03 00:00:00
HAIR,AUSSIE,0.00530,2023-05-04 00:00:00
HAIR,AUSSIE,0.00720,2023-05-05 00:00:00
HAIR,AUSSIE,0.00600,2023-05-08 00:00:00
HAIR,AUSSIE,0.00460,2023-05-09 00:00:00
HAIR,AUSSIE,0.00350,2023-05-10 00:00:00
HAIR,AUSSIE,0.00420,2023-05-11 00:00:00
HAIR,AUSSIE,0.00740,2023-05-12 00:00:00
HAIR,AUSSIE,0.00560,2023-05-15 00:00:00
HAIR,AUSSIE,0.00260,2023-05-16 00:00:00
HAIR,AUSSIE,0.01560,2023-05-17 00:00:00
HAIR,AUSSIE,0.00110,2023-05-18 00:00:00
HAIR,AUSSIE,0.00860,2023-05-19 00:00:00
HAIR,AUSSIE,0.00670,2023-05-22 00:00:00
HAIR,AUSSIE,0.00540,2023-05-23 00:00:00
HAIR,AUSSIE,0.00580,2023-05-24 00:00:00
HAIR,AUSSIE,0.00320,2023-05-25 00:00:00
HAIR,AUSSIE,0.00720,2023-05-26 00:00:00
HAIR,AUSSIE,0.00770,2023-05-29 00:00:00
HAIR,AUSSIE,-0.00860,2023-05-30 00:00:00
HAIR,AUSSIE,0.00860,2023-05-31 00:00:00
HAIR,AUSSIE,0.01890,2023-06-01 00:00:00
HAIR,AUSSIE,0.09140,2023-06-02 00:00:00
HAIR,AUSSIE,0.01210,2023-06-05 00:00:00
