Month (Real),Sub Sector,Category,Corp Item GTIN,Shipment MSU Internal,Shipment GIV Value Internal,Shipment NIV Value Internal,Shipment Consumer Unit Internal
2021M03,HOME,ADW,04084500097872,0.37440,10152.00,9918.50,2160
2021M03,HOME,ADW,08001090039040,2.80800,45349.20,43852.69,7020
2021M03,HOME,ADW,08001090884527,1.20490,28358.16,27422.37,3286
2021M03,HOME,ADW,08001841003276,1.54560,47278.80,45351.24,4140
2021M03,HOME,ADW,08001841310466,0.06240,1360.08,1320.00,384
2021M03,HOME,ADW,08001841310497,0.01560,334.08,323.04,96
2021M03,HOME,ADW,08001841310527,0.12690,2650.80,2563.32,564
2021M03,HOME,ADW,08001841310558,0.08370,1748.40,1690.70,372
2021M03,HOME,ADW,08001841475349,0.07200,1296.00,1253.23,2160
2021M03,HOME,ADW,08001841496498,1.41000,40255.50,38495.54,3525
2021M03,HOME,ADW,08001841684987,0.54510,12264.00,11981.93,2044
2021M03,HOME,ADW,08006540063156,0.16130,3467.52,3387.78,576
2021M04,HOME,ADW,04084500097872,0.09360,2538.00,2479.63,540
2021M04,HOME,ADW,08001090039040,7.29920,117869.02,113978.93,18248
2021M04,HOME,ADW,08001090884527,2.07500,48834.22,47222.61,5659
2021M04,HOME,ADW,08001841003276,0.00000,-24.52,-4829.55,0
2021M04,HOME,ADW,08001841310466,0.02930,658.80,643.64,180
2021M04,HOME,ADW,08001841310497,0.00000,0.00,0.00,0
2021M04,HOME,ADW,08001841310527,0.42660,9362.40,9053.42,1896
2021M04,HOME,ADW,08001841310558,0.30240,6316.80,6108.30,1344
2021M04,HOME,ADW,08001841475349,0.00000,0.00,0.00,0
2021M04,HOME,ADW,08001841496498,0.00000,-3.49,-3514.13,0
2021M04,HOME,ADW,08001841684987,0.07680,1728.00,1688.26,288
2021M05,HOME,ADW,04084500097872,0.00000,-54.64,-54.64,0
2021M05,HOME,ADW,04084500111875,0.21600,7160.40,6995.72,1620
2021M05,HOME,ADW,08001090039040,7.63840,123356.36,119285.47,19096
2021M05,HOME,ADW,08001090884527,1.55980,36712.01,35500.50,4254
2021M05,HOME,ADW,08001841310527,0.01890,394.80,381.78,84
2021M05,HOME,ADW,08001841310558,0.03240,676.80,654.48,144
2021M05,HOME,ADW,08001841684987,0.22720,4989.79,4872.21,852
2021M05,HOME,ADW,08006540063156,0.20160,4334.40,4234.71,720
2021M06,HOME,ADW,04084500111875,0.07200,2386.80,2331.91,540
2021M06,HOME,ADW,04084500808423,2.24780,46361.70,44831.71,4014
2021M06,HOME,ADW,08001090012159,0.65610,19970.75,19311.73,3175
2021M06,HOME,ADW,08001090015969,0.23440,6372.36,6162.06,558
2021M06,HOME,ADW,08001090039040,8.11040,130982.96,126660.52,20276
2021M06,HOME,ADW,08001090884527,4.44630,104647.15,101193.81,12126
2021M06,HOME,ADW,08001090981646,0.98470,34011.84,32889.44,3992
2021M06,HOME,ADW,08001841122953,0.54680,24917.35,24095.07,4105
2021M06,HOME,ADW,08001841310466,0.31590,6765.12,6541.82,1944
2021M06,HOME,ADW,08001841310497,0.11700,2505.60,2422.86,720
2021M06,HOME,ADW,08001841310527,0.10800,2256.00,2181.55,480
2021M06,HOME,ADW,08001841310558,0.11880,2481.60,2399.73,528
2021M06,HOME,ADW,08001841543314,3.09130,98763.84,95504.60,11592
2021M06,HOME,ADW,08001841684987,0.69120,14599.85,14161.54,2592
2021M06,HOME,ADW,08001841944616,4.03330,119122.02,115191.04,10431
2021M06,HOME,ADW,08001841959948,0.72600,30030.26,29038.75,4950
2021M07,HOME,ADW,04084500097872,0.09360,2413.80,2334.14,540
2021M07,HOME,ADW,04084500808423,5.39950,111365.10,107690.01,9642
2021M07,HOME,ADW,08001090012159,0.79360,24148.76,23351.66,3840
2021M07,HOME,ADW,08001090015969,1.37340,37343.40,36111.03,3270
2021M07,HOME,ADW,08001090039040,5.34880,86381.35,83530.74,13372
2021M07,HOME,ADW,08001090884527,6.29660,148193.97,143303.73,17172
2021M07,HOME,ADW,08001090981646,2.81900,97366.56,94153.43,11428
2021M07,HOME,ADW,08001841122953,0.54750,24947.70,24124.38,4110
2021M07,HOME,ADW,08001841310466,0.15990,3424.32,3311.18,984
2021M07,HOME,ADW,08001841310497,0.11310,2422.08,2342.07,696
2021M07,HOME,ADW,08001841310527,0.30780,6429.60,6217.43,1368
2021M07,HOME,ADW,08001841310558,0.17010,3553.20,3435.99,756
2021M07,HOME,ADW,08001841543314,3.72120,118044.16,114148.82,13954
2021M07,HOME,ADW,08001841684987,0.15150,3237.60,3130.75,568
2021M07,HOME,ADW,08001841944616,5.08310,150127.32,145173.19,13146
2021M07,HOME,ADW,08001841959948,0.47520,19666.80,19017.73,3240
2021M08,HOME,ADW,04084500808423,2.71990,60685.26,58682.61,4857
2021M08,HOME,ADW,08001090012159,0.32030,9749.50,9427.81,1550
2021M08,HOME,ADW,08001090015969,1.32050,35888.19,34703.35,3144
2021M08,HOME,ADW,08001090039040,4.17280,67390.72,65166.86,10432
2021M08,HOME,ADW,08001090884527,3.78450,90743.45,87748.88,10321
2021M08,HOME,ADW,08001090981646,1.67340,54369.52,52575.47,6784
2021M08,HOME,ADW,08001841122953,0.36430,16601.45,16053.49,2735
2021M08,HOME,ADW,08001841310466,0.12090,2589.12,2503.56,744
2021M08,HOME,ADW,08001841310497,0.04290,918.72,888.36,264
2021M08,HOME,ADW,08001841310527,0.28080,5865.60,5672.01,1248
2021M08,HOME,ADW,08001841310558,0.15390,3214.80,3108.74,684
2021M08,HOME,ADW,08001841543314,2.95770,94494.77,91376.69,11091
2021M08,HOME,ADW,08001841684987,0.41920,8960.40,8664.77,1572
2021M08,HOME,ADW,08001841944616,2.06020,58010.45,56095.92,5328
2021M08,HOME,ADW,08001841959948,0.34390,14234.15,13764.38,2345
2021M09,HOME,ADW,04084500808423,2.04290,42134.40,40743.97,3648
2021M09,HOME,ADW,08001090012159,0.40200,12234.05,11830.34,1945
2021M09,HOME,ADW,08001090015969,1.30540,36115.07,34923.19,3108
2021M09,HOME,ADW,08001090039040,5.14240,83049.76,80309.10,12856
2021M09,HOME,ADW,08001090884527,5.85180,137725.65,133180.65,15959
2021M09,HOME,ADW,08001090981646,1.97440,67805.47,65567.89,8004
2021M09,HOME,ADW,08001841003276,0.00000,0.00,0.00,0
2021M09,HOME,ADW,08001841122953,0.44560,20304.15,19634.04,3345
2021M09,HOME,ADW,08001841310466,0.33740,7224.48,6985.89,2076
2021M09,HOME,ADW,08001841310497,0.10920,2338.56,2261.28,672
2021M09,HOME,ADW,08001841310527,0.45090,9418.80,9107.96,2004
2021M09,HOME,ADW,08001841310558,0.38340,8008.80,7744.50,1704
2021M09,HOME,ADW,08001841496498,-0.00360,-102.78,-88.69,-9
2021M09,HOME,ADW,08001841543314,0.83040,26948.82,26059.68,3114
2021M09,HOME,ADW,08001841684987,0.29650,6338.40,6129.32,1112
2021M09,HOME,ADW,08001841944616,0.91060,27086.72,26192.86,2355
2021M09,HOME,ADW,08001841959948,0.22150,9165.70,8863.18,1510
2021M10,HOME,ADW,04084500808423,2.77700,59275.87,57319.71,4959
2021M10,HOME,ADW,08001090012159,0.50530,15379.05,14871.56,2445
2021M10,HOME,ADW,08001090015969,1.69930,47811.40,46233.54,4046
2021M10,HOME,ADW,08001090039040,4.92000,79458.00,76835.84,12300
2021M10,HOME,ADW,08001090884527,1.70360,40821.05,39473.76,4646
2021M10,HOME,ADW,08001090981646,2.42330,81201.36,78521.69,9824
2021M10,HOME,ADW,08001841003276,0.00000,0.00,0.00,0
2021M10,HOME,ADW,08001841122953,0.48220,21973.40,21248.30,3620
2021M10,HOME,ADW,08001841310466,0.17360,3716.64,3593.83,1068
2021M10,HOME,ADW,08001841310497,0.06240,1336.32,1292.17,384
2021M10,HOME,ADW,08001841310527,0.33480,6993.60,6762.82,1488
2021M10,HOME,ADW,08001841310558,0.25650,5358.00,5181.20,1140
2021M10,HOME,ADW,08001841496498,0.00000,0.00,0.00,0
2021M10,HOME,ADW,08001841543314,1.98780,62407.82,60348.55,7454
2021M10,HOME,ADW,08001841944616,1.23810,35831.09,34648.65,3202
2021M10,HOME,ADW,08001841959948,0.36520,15114.30,14615.44,2490
2021M11,HOME,ADW,04084500808423,4.04040,84215.34,81436.21,7215
2021M11,HOME,ADW,08001090012159,0.32140,9780.95,9458.23,1555
2021M11,HOME,ADW,08001090015969,1.95430,53043.76,51290.22,4653
2021M11,HOME,ADW,08001090039040,5.27520,85194.48,82383.05,13188
2021M11,HOME,ADW,08001090884527,4.01880,94906.28,91774.40,10960
2021M11,HOME,ADW,08001090981646,2.14010,73259.88,70842.27,8676
2021M11,HOME,ADW,08001841122953,0.42360,19302.60,18665.54,3180
2021M11,HOME,ADW,08001841310466,0.22620,4844.16,4684.16,1392
2021M11,HOME,ADW,08001841310497,0.10730,2296.80,2220.92,660
2021M11,HOME,ADW,08001841310527,0.61560,12859.20,12434.83,2736
2021M11,HOME,ADW,08001841310558,0.17820,3722.40,3599.58,792
2021M11,HOME,ADW,08001841543314,3.43980,109898.92,106272.41,12899
2021M11,HOME,ADW,08001841684987,0.28800,6156.00,5952.84,1080
2021M11,HOME,ADW,08001841944616,2.90350,85208.66,82396.80,7509
2021M11,HOME,ADW,08001841959948,0.46350,19181.20,18548.18,3160
2021M12,HOME,ADW,04084500808423,1.06180,21898.80,21176.13,1896
2021M12,HOME,ADW,08001090012159,0.37920,11542.15,11161.33,1835
2021M12,HOME,ADW,08001090015969,1.42630,38772.74,37492.98,3396
2021M12,HOME,ADW,08001090039040,5.60480,90517.52,87530.46,14012
2021M12,HOME,ADW,08001090884527,1.67610,39447.60,38145.73,4571
2021M12,HOME,ADW,08001090981646,1.62610,56125.52,54272.08,6592
2021M12,HOME,ADW,08001841122953,0.35100,15994.45,15466.63,2635
2021M12,HOME,ADW,08001841310466,0.20480,4384.80,4239.97,1260
2021M12,HOME,ADW,08001841310497,0.13650,2923.20,2826.69,840
2021M12,HOME,ADW,08001841310527,0.20520,4286.40,4144.96,912
2021M12,HOME,ADW,08001841310558,0.22950,4794.00,4635.79,1020
2021M12,HOME,ADW,08001841543314,0.78800,25176.50,24345.79,2955
2021M12,HOME,ADW,08001841684987,0.54080,11559.60,11178.14,2028
2021M12,HOME,ADW,08001841944616,1.32010,38987.88,37701.29,3414
2021M12,HOME,ADW,08001841959948,0.26110,10804.60,10448.04,1780
2021M03,HOME,AIR CARE,04015600435318,0.03600,816.12,730.22,360
2021M03,HOME,AIR CARE,04015600435356,0.15930,3424.95,3312.00,1593
2021M03,HOME,AIR CARE,04015600435509,0.32580,7004.70,6773.54,3258
2021M03,HOME,AIR CARE,04015600435653,0.35730,7681.95,7428.47,3573
2021M03,HOME,AIR CARE,04015600435929,0.43560,9060.48,8761.47,2178
2021M03,HOME,AIR CARE,04015600450311,0.16380,4930.38,4767.66,1638
2021M03,HOME,AIR CARE,04015600450694,0.41640,8910.96,8616.88,2082
2021M03,HOME,AIR CARE,04015600450724,0.47280,10117.92,9784.06,2364
2021M03,HOME,AIR CARE,04015600451332,0.10800,2017.44,1801.59,432
2021M03,HOME,AIR CARE,04015600514969,0.47580,4587.84,4436.39,3186
2021M03,HOME,AIR CARE,04015600641580,0.11360,3111.84,2951.49,1818
2021M03,HOME,AIR CARE,04015600641610,0.04390,1186.38,1147.23,702
2021M03,HOME,AIR CARE,04084500905733,0.06000,808.80,782.19,240
2021M03,HOME,AIR CARE,04084500905795,0.07650,1083.24,967.32,306
2021M03,HOME,AIR CARE,05410076326341,0.02970,674.19,602.05,297
2021M03,HOME,AIR CARE,05410076326389,0.02700,612.90,547.33,270
2021M03,HOME,AIR CARE,05410076362479,0.09760,2061.84,1964.95,1092
2021M03,HOME,AIR CARE,05413149006690,0.03700,1309.44,1272.07,592
2021M03,HOME,AIR CARE,08001841873008,0.18900,5688.90,5501.19,1890
2021M03,HOME,AIR CARE,08001841875279,0.09000,1681.20,1501.31,360
2021M04,HOME,AIR CARE,04015600435318,0.00720,161.28,146.88,72
2021M04,HOME,AIR CARE,04015600435356,0.33840,7585.20,7334.93,3384
