Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
HAIR,AUSSIE,0.11220,2022-01-03 00:00:00
HAIR,AUSSIE,0.03460,2022-01-04 00:00:00
HAIR,AUSSIE,0.00640,2022-01-05 00:00:00
HAIR,AUSSIE,0.00490,2022-01-07 00:00:00
HAIR,AUSSIE,0.00280,2022-01-10 00:00:00
HAIR,AUSSIE,0.00140,2022-01-11 00:00:00
HAIR,AUSSIE,0.00850,2022-01-12 00:00:00
HAIR,AUSSIE,0.00680,2022-01-13 00:00:00
HAIR,AUSSIE,0.00480,2022-01-14 00:00:00
HAIR,AUSSIE,0.00190,2022-01-17 00:00:00
HAIR,AUSSIE,0.00800,2022-01-18 00:00:00
HAIR,AUSSIE,0.01230,2022-01-19 00:00:00
HAIR,AUSSIE,0.00260,2022-01-20 00:00:00
HAIR,AUSSIE,0.01140,2022-01-21 00:00:00
HAIR,AUSSIE,0.00410,2022-01-25 00:00:00
HAIR,AUSSIE,0.00720,2022-01-26 00:00:00
HAIR,AUSSIE,0.00120,2022-01-27 00:00:00
HAIR,AUSSIE,0.02840,2022-01-28 00:00:00
HAIR,AUSSIE,0.00430,2022-01-31 00:00:00
HAIR,AUSSIE,0.02220,2022-02-01 00:00:00
HAIR,AUSSIE,0.00450,2022-02-02 00:00:00
HAIR,AUSSIE,0.00140,2022-02-03 00:00:00
HAIR,AUSSIE,0.01130,2022-02-04 00:00:00
HAIR,AUSSIE,0.00130,2022-02-07 00:00:00
HAIR,AUSSIE,0.01380,2022-02-08 00:00:00
HAIR,AUSSIE,0.01720,2022-02-09 00:00:00
HAIR,AUSSIE,0.00390,2022-02-10 00:00:00
HAIR,AUSSIE,0.01890,2022-02-11 00:00:00
HAIR,AUSSIE,0.00200,2022-02-14 00:00:00
HAIR,AUSSIE,0.00450,2022-02-15 00:00:00
HAIR,AUSSIE,0.01210,2022-02-16 00:00:00
HAIR,AUSSIE,0.00060,2022-02-17 00:00:00
HAIR,AUSSIE,0.00610,2022-02-18 00:00:00
HAIR,AUSSIE,0.00140,2022-02-21 00:00:00
HAIR,AUSSIE,0.00120,2022-02-22 00:00:00
HAIR,AUSSIE,0.00660,2022-02-23 00:00:00
HAIR,AUSSIE,0.00130,2022-02-25 00:00:00
HAIR,AUSSIE,0.00140,2022-02-28 00:00:00
HAIR,AUSSIE,0.00200,2022-03-01 00:00:00
HAIR,AUSSIE,-0.00110,2022-03-16 00:00:00
HAIR,AUSSIE,0.00000,2022-03-17 00:00:00
HAIR,AUSSIE,-0.00130,2022-04-11 00:00:00
HAIR,AUSSIE,0.24160,2023-04-12 00:00:00
HAIR,AUSSIE,0.01520,2023-04-13 00:00:00
HAIR,AUSSIE,0.30840,2023-04-14 00:00:00
HAIR,AUSSIE,0.02660,2023-04-17 00:00:00
HAIR,AUSSIE,0.01210,2023-04-18 00:00:00
HAIR,AUSSIE,0.01820,2023-04-19 00:00:00
HAIR,AUSSIE,0.00210,2023-04-20 00:00:00
HAIR,AUSSIE,0.01680,2023-04-21 00:00:00
HAIR,AUSSIE,0.00280,2023-04-24 00:00:00
HAIR,AUSSIE,0.03710,2023-04-25 00:00:00
HAIR,AUSSIE,0.03430,2023-04-26 00:00:00
HAIR,AUSSIE,0.00600,2023-04-27 00:00:00
HAIR,AUSSIE,0.05200,2023-04-28 00:00:00
HAIR,AUSSIE,0.05160,2023-05-02 00:00:00
HAIR,AUSSIE,0.00580,2023-05-03 00:00:00
HAIR,AUSSIE,0.00530,2023-05-04 00:00:00
HAIR,AUSSIE,0.00720,2023-05-05 00:00:00
HAIR,AUSSIE,0.00600,2023-05-08 00:00:00
HAIR,AUSSIE,0.00460,2023-05-09 00:00:00
HAIR,AUSSIE,0.00350,2023-05-10 00:00:00
HAIR,AUSSIE,0.00420,2023-05-11 00:00:00
HAIR,AUSSIE,0.00740,2023-05-12 00:00:00
HAIR,AUSSIE,0.00560,2023-05-15 00:00:00
HAIR,AUSSIE,0.00260,2023-05-16 00:00:00
HAIR,AUSSIE,0.01560,2023-05-17 00:00:00
HAIR,AUSSIE,0.00110,2023-05-18 00:00:00
HAIR,AUSSIE,0.00860,2023-05-19 00:00:00
HAIR,AUSSIE,0.00670,2023-05-22 00:00:00
HAIR,AUSSIE,0.00540,2023-05-23 00:00:00
HAIR,AUSSIE,0.00580,2023-05-24 00:00:00
HAIR,AUSSIE,0.00320,2023-05-25 00:00:00
HAIR,AUSSIE,0.00720,2023-05-26 00:00:00
HAIR,AUSSIE,0.00770,2023-05-29 00:00:00
HAIR,AUSSIE,-0.00860,2023-05-30 00:00:00
HAIR,AUSSIE,0.00860,2023-05-31 00:00:00
HAIR,AUSSIE,0.01890,2023-06-01 00:00:00
HAIR,AUSSIE,0.09140,2023-06-02 00:00:00
HAIR,AUSSIE,0.01210,2023-06-05 00:00:00
HAIR,AUSSIE,0.04040,2023-06-06 00:00:00
HAIR,AUSSIE,0.02700,2023-06-07 00:00:00
HAIR,AUSSIE,0.01750,2023-06-08 00:00:00
HAIR,AUSSIE,0.04430,2023-06-09 00:00:00
HAIR,AUSSIE,0.00740,2023-06-11 00:00:00
HAIR,AUSSIE,0.02350,2023-06-12 00:00:00
HAIR,AUSSIE,0.01580,2023-06-13 00:00:00
HAIR,AUSSIE,0.01840,2023-06-14 00:00:00
HAIR,AUSSIE,0.00790,2023-06-15 00:00:00
HAIR,AUSSIE,0.04640,2023-06-16 00:00:00
HAIR,AUSSIE,0.01100,2023-06-17 00:00:00
HAIR,AUSSIE,0.00540,2023-06-19 00:00:00
HAIR,AUSSIE,0.00420,2023-06-20 00:00:00
HAIR,AUSSIE,0.00910,2023-06-21 00:00:00
HAIR,AUSSIE,0.00790,2023-06-22 00:00:00
HAIR,AUSSIE,0.00610,2023-06-23 00:00:00
HAIR,AUSSIE,0.00530,2023-06-26 00:00:00
HAIR,AUSSIE,0.01050,2023-06-27 00:00:00
HAIR,AUSSIE,0.01610,2023-06-28 00:00:00
HAIR,AUSSIE,0.03570,2023-06-29 00:00:00
HAIR,AUSSIE,0.01660,2023-06-30 00:00:00
HAIR,AUSSIE,0.00960,2023-07-03 00:00:00
HAIR,AUSSIE,0.10480,2023-07-04 00:00:00
HAIR,AUSSIE,0.20040,2023-07-05 00:00:00
HAIR,AUSSIE,0.00630,2023-07-06 00:00:00
HAIR,AUSSIE,0.07210,2023-07-07 00:00:00
HAIR,AUSSIE,0.05640,2023-07-10 00:00:00
HAIR,AUSSIE,0.05200,2023-07-11 00:00:00
HAIR,AUSSIE,0.05180,2023-07-12 00:00:00
HAIR,AUSSIE,0.06210,2023-07-13 00:00:00
HAIR,AUSSIE,0.05360,2023-07-14 00:00:00
HAIR,AUSSIE,0.01610,2023-07-17 00:00:00
HAIR,AUSSIE,0.03970,2023-07-18 00:00:00
HAIR,AUSSIE,0.01140,2023-07-19 00:00:00
HAIR,AUSSIE,0.03480,2023-07-20 00:00:00
HAIR,AUSSIE,0.01650,2023-07-21 00:00:00
HAIR,AUSSIE,0.00610,2023-07-24 00:00:00
HAIR,AUSSIE,0.00610,2023-07-25 00:00:00
HAIR,AUSSIE,0.00930,2023-07-26 00:00:00
HAIR,AUSSIE,0.00180,2023-07-27 00:00:00
HAIR,AUSSIE,0.00630,2023-07-28 00:00:00
HAIR,AUSSIE,0.00490,2023-07-31 00:00:00
HAIR,AUSSIE,0.00600,2023-08-01 00:00:00
HAIR,AUSSIE,0.01140,2023-08-02 00:00:00
HAIR,AUSSIE,0.02350,2023-08-03 00:00:00
HAIR,AUSSIE,0.07400,2023-08-04 00:00:00
HAIR,AUSSIE,0.04040,2023-08-07 00:00:00
HAIR,AUSSIE,0.02990,2023-08-08 00:00:00
HAIR,AUSSIE,0.01840,2023-08-09 00:00:00
HAIR,AUSSIE,0.00750,2023-08-10 00:00:00
HAIR,AUSSIE,0.02540,2023-08-11 00:00:00
HAIR,AUSSIE,0.00670,2023-08-14 00:00:00
HAIR,AUSSIE,0.01370,2023-08-16 00:00:00
HAIR,AUSSIE,0.02630,2023-08-17 00:00:00
HAIR,AUSSIE,0.01800,2023-08-18 00:00:00
HAIR,AUSSIE,0.01090,2023-08-21 00:00:00
HAIR,AUSSIE,0.00580,2023-08-22 00:00:00
HAIR,AUSSIE,0.00630,2023-08-23 00:00:00
HAIR,AUSSIE,0.00000,2023-08-24 00:00:00
HAIR,AUSSIE,0.01120,2023-08-25 00:00:00
HAIR,AUSSIE,0.00400,2023-08-28 00:00:00
HAIR,AUSSIE,0.00600,2023-08-29 00:00:00
HAIR,AUSSIE,0.00350,2023-08-30 00:00:00
HAIR,AUSSIE,0.00280,2023-08-31 00:00:00
HAIR,AUSSIE,0.01000,2023-09-01 00:00:00
HAIR,AUSSIE,0.02260,2023-09-04 00:00:00
HAIR,AUSSIE,0.01020,2023-09-05 00:00:00
HAIR,AUSSIE,0.02150,2023-09-06 00:00:00
HAIR,AUSSIE,0.00470,2023-09-07 00:00:00
HAIR,AUSSIE,0.02780,2023-09-08 00:00:00
HAIR,AUSSIE,0.00630,2023-09-11 00:00:00
HAIR,AUSSIE,0.01770,2023-09-12 00:00:00
HAIR,AUSSIE,0.03890,2023-09-13 00:00:00
HAIR,AUSSIE,0.01870,2023-09-15 00:00:00
HAIR,AUSSIE,0.00890,2023-09-18 00:00:00
HAIR,AUSSIE,0.01400,2023-09-19 00:00:00
HAIR,AUSSIE,0.01560,2023-09-20 00:00:00
HAIR,AUSSIE,-0.00400,2023-09-21 00:00:00
HAIR,AUSSIE,0.01000,2023-09-22 00:00:00
HAIR,AUSSIE,0.01260,2023-09-25 00:00:00
HAIR,AUSSIE,0.01100,2023-09-26 00:00:00
HAIR,AUSSIE,0.01050,2023-09-27 00:00:00
HAIR,AUSSIE,0.00440,2023-09-28 00:00:00
HAIR,AUSSIE,0.00630,2023-09-29 00:00:00
HAIR,AUSSIE,0.00720,2023-10-02 00:00:00
HAIR,AUSSIE,0.01310,2023-10-03 00:00:00
HAIR,AUSSIE,0.01470,2023-10-04 00:00:00
HAIR,AUSSIE,0.03240,2023-10-06 00:00:00
HAIR,AUSSIE,0.00210,2023-10-09 00:00:00
HAIR,AUSSIE,0.00630,2023-10-10 00:00:00
HAIR,AUSSIE,0.01560,2023-10-11 00:00:00
HAIR,AUSSIE,0.00670,2023-10-13 00:00:00
HAIR,AUSSIE,1.10870,2023-10-16 00:00:00
HAIR,AUSSIE,0.25030,2023-10-17 00:00:00
HAIR,AUSSIE,0.01000,2023-10-23 00:00:00
HAIR,AUSSIE,0.01430,2023-10-26 00:00:00
HAIR,AUSSIE,0.01220,2023-10-27 00:00:00
HAIR,AUSSIE,0.00920,2023-10-31 00:00:00
HAIR,AUSSIE,0.01630,2023-11-02 00:00:00
HAIR,AUSSIE,0.01690,2023-11-03 00:00:00
HAIR,AUSSIE,0.00840,2023-11-06 00:00:00
HAIR,AUSSIE,0.01240,2023-11-07 00:00:00
HAIR,AUSSIE,0.01950,2023-11-08 00:00:00
HAIR,AUSSIE,0.00960,2023-11-09 00:00:00
HAIR,AUSSIE,0.00390,2023-11-10 00:00:00
HAIR,AUSSIE,0.07780,2023-11-13 00:00:00
HAIR,AUSSIE,0.07480,2023-11-14 00:00:00
HAIR,AUSSIE,0.00640,2023-11-16 00:00:00
HAIR,AUSSIE,0.02020,2023-11-17 00:00:00
HAIR,AUSSIE,0.01020,2023-11-20 00:00:00
HAIR,AUSSIE,0.10470,2023-11-21 00:00:00
HAIR,AUSSIE,0.07880,2023-11-22 00:00:00
HAIR,AUSSIE,0.12220,2023-11-24 00:00:00
HAIR,AUSSIE,0.00210,2023-11-27 00:00:00
HAIR,AUSSIE,0.16590,2023-11-28 00:00:00
HAIR,AUSSIE,0.17400,2023-11-29 00:00:00
HAIR,AUSSIE,0.26050,2023-12-01 00:00:00
HAIR,AUSSIE,0.02620,2023-12-04 00:00:00
HAIR,AUSSIE,0.02720,2023-12-05 00:00:00
HAIR,AUSSIE,0.06200,2023-12-07 00:00:00
HAIR,AUSSIE,0.01090,2023-12-11 00:00:00
