"Sub Sector","Category","Shipment MSU Internal","Date"
"BABY CARE","BABY WIPES",8.4851,"2021-03"
"BABY CARE","DIAPER",16.257599999999996,"2021-03"
"DISH WASHING","ADW",8.409900000000002,"2021-03"
"DISH WASHING","HDW",8.3374,"2021-03"
"FABRIC CARE","FABRIC ENHANCER",0.36989999999999995,"2021-03"
"FABRIC CARE","LAUNDRY",26.561,"2021-03"
"FEMININE CARE","INCO",1.3025,"2021-03"
"FEMININE CARE","LINERS",6.1408000000000005,"2021-03"
"FEMININE CARE","PADS",9.841700000000003,"2021-03"
"FEMININE CARE","TAMPONS",3.5134999999999996,"2021-03"
"GROOMING","FEMALE DISPOSABL RAZ",1.5860999999999998,"2021-03"
"GROOMING","FEMALE HR RMVL APPLN",0.305,"2021-03"
"GROOMING","FEMALE PREM B&R SYS",0.7607000000000002,"2021-03"
"GROOMING","FEMALE SHAVE PREP",0.0228,"2021-03"
"GROOMING","HAIR CARE APPLIANCE",-0.002,"2021-03"
"GROOMING","MALE DISPOSABL RAZOR",10.0488,"2021-03"
"GROOMING","MALE HAIR REMV APPLN",1.3974000000000002,"2021-03"
"GROOMING","MALE OT SYSDBL EDGE",0.0769,"2021-03"
"GROOMING","MALE PREMIUM B&R SYS",3.8806999999999996,"2021-03"
"GROOMING","MALE SHAVE PREP",1.1574000000000002,"2021-03"
"GROOMING","MALE SKIN CARE",0.0336,"2021-03"
"HAIR CARE","AUSSIE",0.0571,"2021-03"
"HAIR CARE","BEAR FRUITS",0.0014000000000000002,"2021-03"
"HAIR CARE","H&S",11.5145,"2021-03"
"HAIR CARE","HERBAL ESSENCES",0.20280000000000004,"2021-03"
"HAIR CARE","MODEST EGO",0.0001,"2021-03"
"HAIR CARE","PANTENE",19.156399999999998,"2021-03"
"HOME CARE","AIR CARE",3.7150999999999996,"2021-03"
"HOME CARE","CLEANING PRODUCTS",4.078800000000001,"2021-03"
"HOME CARE","CLEANING SYSTEMS",0.3173,"2021-03"
"ORAL CARE","DENTAL FLOSS",0.1955,"2021-03"
"ORAL CARE","DENTIFRICE",2.8804000000000007,"2021-03"
"ORAL CARE","DENTURE CARE",0.2069,"2021-03"
"ORAL CARE","MANUAL ORAL CARE",0.557,"2021-03"
"ORAL CARE","ORAL RINSE",0.3278,"2021-03"
"ORAL CARE","POWER ORAL CARE",3.1746999999999996,"2021-03"
"PERSONAL CARE","APDO & BODY SPRAY",0.8129,"2021-03"
"PERSONAL CARE","MASS FRAGRANCE",0.061200000000000004,"2021-03"
